filename,sample,read_technology,coverage,reference,mapper,preset,total_reads,mapped_reads,unmapped_reads,mapping_rate_percent,error_rate_percent,average_read_length,average_quality,bases_mapped_cigar,mismatches
HG002_ont_30x.hg38.mm2-ont.cram.stats.SN.txt,HG002,ont,30x,hg38,minimap2,ont,5203769,5118735,85034,98.36591516648798,3.227282,18100,42.4,93672651095,3023080751
HG002_ont_30x.hg38.mm2-pb.cram.stats.SN.txt,HG002,ont,30x,hg38,minimap2,pb,5203768,5013347,190421,96.34070927066696,2.677294,18100,42.4,92686465122,2481489192
HG002_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt,HG002,ont,30x,hg38,pbmm2,ont,5203769,5108067,95702,98.1609099097212,2.916496,18100,42.4,93060440064,2714103858
HG002_ont_30x.hg38.pbmm2-pb.cram.stats.SN.txt,HG002,ont,30x,hg38,pbmm2,pb,5203769,5070667,133102,97.44220006691305,2.51378,18100,42.4,92215641988,2318098625
HG002_pb_30x.hg38.mm2-ont.cram.stats.SN.txt,HG002,pacbio,30x,hg38,minimap2,ont,6736453,6736335,118,99.99824833632772,1.736491,14004,38.4,94361718880,1638582511
HG002_pb_30x.hg38.mm2-pb.cram.stats.SN.txt,HG002,pacbio,30x,hg38,minimap2,pb,6736453,6719594,16859,99.74973476397744,1.391648,14004,38.4,94078039439,1309235275
HG002_pb_30x.hg38.pbmm2-ont.cram.stats.SN.txt,HG002,pacbio,30x,hg38,pbmm2,ont,6736453,6736357,96,99.99857491769036,1.542899,14004,38.4,94199073529,1453396352
HG002_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt,HG002,pacbio,30x,hg38,pbmm2,pb,6736453,6733791,2662,99.96048365512236,1.218666,14004,38.4,93857101555,1143804337
HG003_ont_30x.hg38.mm2-ont.cram.stats.SN.txt,HG003,ont,30x,hg38,minimap2,ont,6938685,6534420,404265,94.17375194291138,2.807869,13678,43.7,94296387842,2647718996
HG003_ont_30x.hg38.mm2-pb.cram.stats.SN.txt,HG003,ont,30x,hg38,minimap2,pb,6938685,6146727,791958,88.58633876591891,2.309986,13678,43.7,93483377305,2159453129
HG003_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt,HG003,ont,30x,hg38,pbmm2,ont,6938685,6509045,429640,93.80804864322276,2.489017,13678,43.7,93653338869,2331047806
HG003_ont_30x.hg38.pbmm2-pb.cram.stats.SN.txt,HG003,ont,30x,hg38,pbmm2,pb,6938685,6428113,510572,92.64166048754194,2.129857,13678,43.7,92934358985,1979368914
HG003_pb_30x.hg38.mm2-ont.cram.stats.SN.txt,HG003,pacbio,30x,hg38,minimap2,ont,6621583,6621495,88,99.99867101265664,1.635029,14089,38.4,93325340842,1525896025
HG003_pb_30x.hg38.mm2-pb.cram.stats.SN.txt,HG003,pacbio,30x,hg38,minimap2,pb,6621583,6607336,14247,99.784839969536,1.343415,14089,38.4,93073206292,1250359813
HG003_pb_30x.hg38.pbmm2-ont.cram.stats.SN.txt,HG003,pacbio,30x,hg38,pbmm2,ont,6621583,6621510,73,99.99889754459016,1.45979,14089,38.4,93159225790,1359929103
HG003_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt,HG003,pacbio,30x,hg38,pbmm2,pb,6621583,6619070,2513,99.96204835006976,1.179903,14089,38.4,92847445611,1095509707
HG004_ont_30x.hg38.mm2-ont.cram.stats.SN.txt,HG004,ont,30x,hg38,minimap2,ont,7046468,6741526,304942,95.67241347012433,2.823284,13263,43.6,92835949268,2621022211
HG004_ont_30x.hg38.mm2-pb.cram.stats.SN.txt,HG004,ont,30x,hg38,minimap2,pb,7046468,6258932,787536,88.8236773373554,2.309114,13263,43.6,91985733776,2124054885
HG004_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt,HG004,ont,30x,hg38,pbmm2,ont,7046468,6718367,328101,95.34375235933804,2.519682,13263,43.6,92288524529,2325377914
HG004_ont_30x.hg38.pbmm2-pb.cram.stats.SN.txt,HG004,ont,30x,hg38,pbmm2,pb,7046468,6630650,415818,94.09891593916272,2.158135,13263,43.6,91576235269,1976339086
HG004_pb_30x.hg38.mm2-ont.cram.stats.SN.txt,HG004,pacbio,30x,hg38,minimap2,ont,6491546,6491446,100,99.99845953490896,1.582116,14432,38.3,93711625566,1482626695
HG004_pb_30x.hg38.mm2-pb.cram.stats.SN.txt,HG004,pacbio,30x,hg38,minimap2,pb,6491546,6477717,13829,99.78696908255752,1.275558,14432,38.3,93484009557,1192442444
HG004_pb_30x.hg38.pbmm2-ont.cram.stats.SN.txt,HG004,pacbio,30x,hg38,pbmm2,ont,6491546,6491457,89,99.99862898606897,1.412179,14432,38.3,93561080177,1321250356
HG004_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt,HG004,pacbio,30x,hg38,pbmm2,pb,6491546,6489571,1975,99.9695758144516,1.133509,14432,38.3,93277553639,1057309585
